Which of the music on the epic 1982 album “Thriller” was recorded by members of what 80s group?	TOTO
A resident of Sesame Street since 1969,green,garbage-loving Oscar the Grouch was originally what color?	ORANGE
When it runs out of names for tropical storms, the World Meteorological Organization uses what instead?	GREEK ALPHABET
Which of these hit songs is a prime example of the late ’80s musical genre called “New Jack Swing”?	MY PREROGATIVE
The aptly titled Bugs Bunny cartoon “Rabbit of Seville” features music from a famous opera by what composer?	ROSSINI
During World War II, U.S. soldiers used the first commercial aerosol cans to hold what?	INSECTICIDE
Because they’re written in common meter,most Emily Dickinson poems can easily be sung to what TV theme song?	GILLIGAN’S ISLAND
What president allowed his daughter to use the White House for her high school senior prom?	GERALD FORD
Quite the opposite of a tropical paradise,which of these U.S. states is home to a city named Kokomo?	INDIANA
In a memorable scene from “Ocean’s Eleven,” Brad Pitt’s character gives a poker lesson to all but which of these actors?	CHRIS PINE
In 1929,the rights to what fictional character were donated to a London children’s hospital?	PETER PAN
Before the American colonies switched to the Gregorian calendar,on what date did their new year start?	MARCH 25.
While still a teenager, which of these soft rocking crooners fought 22 fights as a welterweight boxer?	BILLY JOEL
As of 2011, which of these historic people has not been depicted on a Pez dispenser?	BENJAMIN FRANKLIN
What artist coined the word “mobile” to describe a type of moving sculpture popularized in the 1930s?	MARCEL DUCHAMP
By definition,a stertorous person does what noisily?	SNORES
According to Seth MacFarlane,the voice of Stewie on TV’s “Family Guy” is based on what British actor?	REX HARRISON
In the “Rocky” film series,Adrian has what maiden name before becoming Mrs. Balboa?	PENNINO
After visiting the Moon,several Apollo astronauts have reported that moondust smells like what?	BURNT GUNPOWDER
What island is often identified on maps by its local name,Kalaallit Nunaat?	GREENLAND
Coffee beans are actually the pits of a sweet-tasting fruit called what?	COFFEE CHERRY
In her Oscar acceptance speech,what actress quipped “All I can say is I’ve loved being hated by you”?	LOUISE FLETCHER
Usually referred to by his first name,the Renaissance artist Michelangelo had what surname?	BUONARROTI
Though long associated with New York,the legendary Yankees has its origins in what other Eastern city?	BALTIMORE
Ironically,what Founding Father had a son who was declared an “enemy to the liberties of this country”?	BENJAMIN FRANKLIN
Which of these minor characters from TV’s “Lost” does not share his name with a prominent philosopher?	RICHARD MALKIN
Long before Wrigley,Native Americans taught colonists to make chewing gum with resin from what evergreen?	SPRUCE
To end the Cuban missile crisis,the U.S. agreed to remove its nuclear missiles from what country?	TURKEY
In a military flag-folding ceremony,the U.S. flag is folded how many times until it becomes a triangle?	12 *CORRECT*
“Uncle Sam” is the name of the largest what ever discovered in the U.S.?	DIAMOND
Approximately how much saliva does the average human adult produce each day?	QUART
A popular franchise got its start in 1950 when the Open Kettle of Quincy, MA changed its name to what?	DUNKIN’ DONUTS
Consisting entirely of whistling,the unusual language Silbo Gomero is native to which of these places?	THE CANARY ISLANDS
Considered the fastest men in history,the Apollo 10 astronauts returning from the moon in 1969 reached what top speed?	24,816 MILES PER HOUR *CORRECT*
In a classic “I Love Lucy” scene,Lucy and Ethel goof off on the assembly line at what chocolate factory?	KRAMER’S KANDY KITCHEN
When the “Mona Lisa” was stolen from the Louvre in 1911, which of these artists was questioned as a possible suspect?	PABLO PICASSO
According to the Union of Orthodox Jewish Congregations of America,which of these brands of candy is not kosher?	JOLLY RANCHER
Inspired by Farrah Fawcett’s travel plans,the Gladys Knight hit “Midnight Train to Georgia” originally had what title?	MIDNIGHT PLANE TO HOUSTON
Before it spawned the word “pants,” the term “Pantaloon” first referred to what?	AN ITALIAN THEATER CHARACTER
Before he became famous,which artist’s illustrated children’s stories including 1959’s “Card Games are Fun”?	ANDY WARHOL
Airing as a radio spot on Christmas Eve 1926,what brand is credited with producing the first-ever commercial jingle?	WHEATIES
What novelist’s best-known protagonists include Elizabeth Bennet,Emma Woodhouse and Elinor Dashwood?	JANE AUSTEN
What is Dora the Explorer’s last name?	MARQUEZ
In 1764,a full round of golf at the famous Old Course at St.Andrew’s consisted of playing not 18,but how many holes?	22 *CORRECT*
The classic tales “The Lord of The Rings” and “Lord of the Flies” both feature a main character with what first name?	SAM
Before his writing career,what children’s author was a dashing ladies’ man and a spy during World War II?	ROALD DAHL
Though decades out of fashion,what 19-century president wore a powdered wig,knee breeches and a tricorner hat?	JAMES MONROE
What geological epoch are we currently living in?	HOLOCENE
Created by Sylvester Graham in 1829,Graham crackers were originally developed as part of a diet meant to do what?	DECREASE SEXUAL URGES
The first ever video posted on YouTube featured its co-founder,Jawed Karim standing in front of what?	ELEPHANTS AT THE ZOO
What action star’s 1970 spot for “Mandom” cologne started the trend of American celebrities appearing in Japanese ads?	CHARLES BRONSON
In a Barbara Walters interview,how did Katharine Hepburn respond to the famous question, “What kind of a tree are you”?	AN OAK
Ms. magazine debuted in July of 1972 with what woman on its cover?	WONDER WOMAN
When baking in high altitudes — over 3,500 feet — Pillsbury recommends all but which of these things?	LOWERING OVEN TEMPERATURE
Twenty-five times the size of the Bonneville Salt Flats, the Salar de Uyuni Salt Flats are located where?	BOLIVIA
In Jonathan Swift’s novel “Gulliver’s Travels,” Gulliver pays a visit to which of these nonfictional countries?	JAPAN
Inspired by Farrah Fawcett’s travel plans, the Gladys Knight hit “Midnight train to Georgia” originally had what title?	MIDNIGHT PLANE TO HOUSTON
Which of these European nations is bordered by exactly two other countries?	THE NETHERLANDS
“Taoiseach” which means “leader” or “chief,” is the official title of what country’s prime minister?	IRELAND
In 2012, pop icon Beyonce gave birth to a daughter with what colorful, unusual name?	BLUE IVY
Which of these legendary actresses has lost the Best Actress Oscar a whopping 12 times?	MERYL STREEP
What Oscar-winning film’s advance screening copies were labeled with the decoy title “Baby’s Day Out 2”?	TITANIC
What First Lady is said to haunt the White House’s East Room,where she hangs her laundry out to dry?	ABIGAIL ADAMS
Which of the following is the name of an advanced mathematics problem,and not a ’70s sci-fi movie?	THE KATO CONJECTURE
The world’s first nuclear reactor was built in 1942 in what unusual location on the Universirty of Chicago campus?	SQUASH COURT
A fun abbreviation to text for many Americans, “lol” is a word that means “fun” in what language?	DUTCH
Which of these TV newsmen interned for the CIA in college,causing some to allege that he is an active agent?	ANDERSON COOPER
According to a local legend,the original Garden of Eden is located on the remote island of Praslin where?	SEYCHELLES
According to the company, Chanel No.5 recreates a scent that perfumer Ernest Beaux whiffed while traveling where?	INSIDE THE ARCTIC CIRCLE
Even though he won the 2000 Nobel Prize for Literature,what writer’s books are banned in his native country?	GAO XINGJIAN
Which of these obscure words refers to the plastic or metal tip at the end of a shoelace?	AGLET
A stylish New Yorker,what president refused to move into the White House until a member of the Tiffany family redecorated it?	CHESTER ARTHUR
Later changed at the request of one of its stars,which of these ’70s TV shows was originally titled “Alley Cats”?	CHARLIE’S ANGELS
Ancient Babylon’s Code of Hammurabi contains an early instance of the legal principle “lex talionis,” better known as what?	AN EYE FOR AN EYE
Former House speaker Newt Gingrich once stated in an interview that he thought what actor should play him in a movie?	BRAD PITT
What religious phrase dates back to 1896 when it was the subtitlle of a book by Kansas minister Charles M. Sheldon?	WHAT WOULD JESUS DO?
Like the U.S., which of these countries also saw a massive “gold rush” in the mid-19th century?	AUSTRALIA
Which of these South American capital cities is not located on a coast?	BOGOTI
Bitterballen,deep-fried meatballs with mustard,are a traditional treat of what European nation?	THE NETHERLANDS
Featuring participants slathered in olive oil,what nation has hosted the Kirkpinar wrestling festival since 1346?	TURKEY
In 2008,what star NFL quarterback infamously revealed he did not know games could end in ties?	DONOVAN MCNABB
Which of these is not one of the many royal titles held by Prince Charles?	DUKE OF EDINBURGH
A key part of Watergate,the “18 1/2 Minute gap” is an erased portion of a taped conversation between Richard Nixon and whom?	H.R. HALDEMAN
A standard barrel of oil holds roughly how many gallons?	42 *CORRECT*
Before taking its current name,what Internet company was originally called BackRub?	GOOGLE
Khrushchev’s 1960 “shoe-banging” outburst at the U.N. was in response to a delegate from what nation?	THE PHILIPPINES
As of 2011,what magazine’s circulation of 24 million is the largest in the U.S.?	AARP THE MAGAZINE
Refusing the Secret Service,what First Lady was given her own gun and later wrote, “I carried it religiously”?	ELEANOR ROOSEVELT
Whose poem “Parliament of Fowls” is believed to contain the first-ever reference to Valentine’s Day as a day for lovers?	GEOFFREY CHAUCER
Which of these rooms in the White House is also oval-shaped,like the Oval Office?	DIPLOMATIC RECEPTION ROOM
Who once endorsed an apple drink in Japan because his name sounds like the Japanese word for “apple”?	RINGO STARR
Eventually revealing GENERAL HOSPITAL,what was the first letter Vanna White ever turned on “Wheel of Fortune”?	T *CORRECT*
Who coined the word “pandemonium” as a name for the capital of Hell?	JOHN MILTON
“Borborygmi” is the technical name for a bodily condition more commonly referred to as what?	GROWLING STOMACH
Which of these common Mexican food items was actually invented in California in the late 1940s?	TORTILLA CHIPS
Meaning “to obstruct,” the verb “stymie” derives from an outdated rule about blocking an opponent’s ball in what game?	GOLF
The Statue of Freedom,which sits atop the U.S. Capitol Building dome,depicts what?	WOMAN WEARING A HELMET
Though usually translated as “Seize The Day,” Latin scholars will point out that “Carpe Diem” literally means what?	PLUCK THE DAY
Pee-wee Herman came up with his stage name after spying the words “Pee-wee” written on a small what?	HARMONICA
In 1966,a famous “Black & White” masked ball was hosted at New York’s Plaza Hotel by what well-known author?	TRUMAN CAPOTE
The planet Venus is surrounded by a thick layer of clouds composed of what concentrated substance?	SULFURIC ACID
The runaway winner of the Associated Press 2011 Female Athlete of the Year award,Abby Wambach is a what?	SOCCER PLAYER
The disputed academic theory of “Oxfordianism” holds that Edward de Vere actually wrote what famous author’s works?	WILLIAM SHAKESPEARE
The longest place name in the U.S., Chargoggagoggoggmanchauggagoggchaubunagungamaugg is a lake located in what state?	MASSACHUSETTS
The Henry Ford Museum displays a test tube that allegedly holds what odd memento of Ford’s hero,Thomas Edison?	HIS BREATH
In the title of a classic novel by James Fenimore Cooper,what character is considered “The Last of the Mohicans”?	UNCAS
At the 1927 Thanksgiving Day Parade,Macy’s debuted its official balloon in the form of what character?	FELIX THE CAT
Besides Abraham Lincoln,who is the only other signer of the Emancipation Proclamation?	WILLIAM SEWARD
Real-life serial killer Ed Gein is said to have at least partially inspired all but which of these horror films?	FRIDAY THE 13TH
Truman Capote’s groundbreaking book “In Cold Blood” was first published in serial form in what magazine?	THE NEW YORKER
Which of these historic events happened the same year actress Betty White was born?	USSR WAS FORMED
Though she rarely left her house,which of these poets loved baking,and often sent cakes to her neighbors?	EMILY DICKINSON
The humorous “Godwin’s Law” theory says that if an online discussion gets long enough,what figure will inevitably be mentioned?	HITLER
Muenster is a semisoft cheese that is named after a city in what European country?	FRANCE
Which of these actresses is named after her birthplace,a small town in Minnesota?	WINONA RYDER
What celebrity animal is buried near the Seine River in a French cemetery named Cimetire des Chiens?	RIN TIN TIN
While “web” was the American Dialect Society’s “Word of the 1990s,” what was its “Word of the Twentieth Century”?	JAZZ
Of the following wildly successful businessmen,which is the only one that is not dyslexic?	WARREN BUFFETT
As of 2011,what actress has won more Primetime Emmy Awards than any other performer?	CLORIS LEACHMAN
Featuring a less rounded shape,what car’s 2012 model is marketed with the slogan “More power,less flower”?	VOLKSWAGEN BEETLE
Located outside the Guggenheim Bilbao,Jeff Koon’s 43-ft. tall sculpture “Puppy” is covered with what unusual material?	FLOWERS
While Aretha Franklin sang at the inauguration,who performed at the Obamas’ first official state dinner?	JENNIFER HUDSON
The person often credited with firing the first shot for the North in the Civil War was also credited with doing what?	INVENTING BASEBALL
In a famous scene in “Meet The Parents,” an irate Ben Stiller asks if which of these terms is okay to say on an airplane?	BOMBARDLER
What U.S. President had the most children,fathering 15 kids over a period of 45 years?	JOHN TYLER
In 1961,curators at New York’s MoMA discovered that for 47 days they had displayed what Henri Matisse work upside-down?	LE BATEAU
Given it’s 140-character limit,one Twitter tweet is not long enough for the first sentence of which of these novels?	THE CATCHER IN THE RYE
What famous author was also an inventor who received three patents,including one for a device to replace suspenders?	MARK TWAIN
What famous landmark’s name means “Gate of Heavenly Peace”?	TIANANMEN SQUARE
In the 18th century,the now-famous Madame Tussaud made her first wax figure in the likeness of what Frenchman?	VOLTAIRE
Which of these acclaimed filmmakers directed the video for Michael Jackson’s 1987 single “Bad”?	MARTIN SCORSESE
Billionaire Howard Hughes reportedly spent the last years of his life watching what movie over and over?	ICE STATION ZEBRA
In 1972,the U.S. gave what animals to China in exchange for the pandas Ling-Ling and Hsing-Hsing?	MUSK OXEN
A popular variety of asparagus shares its name with what First Lady?	MARTHA WASHINGTON
What happens when unopened cans of Pepsi and Diet Pepsi are put in a tank of water at room temperature?	PEPSI SINKS,DIET PEPSI FLOATS
Which of these cities does not appear in the title of a film that won the Academy Award for Best Picture?	PHILADELPHIA
Which of these colorfully-titled ’80s movies made the most money at the box office?	PURPLE RAIN
Shakespeare’s play “Henry IV, Part I” is credited with introducing what food term into the English language?	SKIM MILK
Which of these familiar brands was named for its creator’s favorite childhood song?	SWEET N’ LOW
An early race of humans,the Cro-Magnons are named after a cave in what country?	FRANCE
The sheer netting used in most bridal veils,the fabric called tulle is named for what?	A TOWN IN FRANCE
According to symbolic tradition,which popular wedding flower is said to literally say “I love you”?	RED CHRYSANTHEMUM
Often taken to mean “good luck,” the Hebrew phrase “mazel tov” can be literally translated as “good” what?	CONSTELLATION
A popular real-life destination for eloping couples,the Scottish town of Gretna Green is referenced in what classic novel?	PRIDE AND PREJUDICE
Long before you could buy them at Jared’s,what ancient people believed diamonds were tears of the gods?	GREEKS
In “The Wedding Singer,” the title character is attacked by a father-of-the-bride after a bitter rendition of what song?	LOVE STINKS
In France,the traditional wedding cake is known as a “croquembouche” and consists of a giant tower of what?	CREAM PUFFS
Of these elements,which is the only one not combined with gold to make “white gold” wedding rings?	LITHIUM
According to English superstitions,it is good luck to find what surprise in your wedding dress?	A SPIDER
Which of Elizabeth Taylor’s seven husbands was she married to the longest?	RICHARD BURTON
Which of these names is not one of the aliases used by Vince Vaughn or Owen Wilson in the 2005 film “Wedding Crashers”?	JEBEDIAH CRUMP
What happily married singer’s 1989 wedding in Las Vegas is one of the few lasting celeb nupitals to take place there?	JON BON JOVI
In a trend,more couples are being married by friends ordained online by the Universal Life Church,whose creed is simply what?	DO ONLY THAT WHICH IS RIGHT
Seen at the fanciest of weddings,the type of service where waiters serve each guest from a platter is called what?	RUSSIAN SERVICE
Having outfitted millions of brides all across the U.S.,the first David’s Bridal shop opened in 1950 in what city?	FORT LAUDERDALE, FL
Often played at the end of a wedding ceremony,Mendelssohn’s “Wedding March” was composed for what Shakespeare play?	A MIDSUMMER NIGHT’S DREAM
What is the last word of the Elizabeth Barrett Browning poem that begins,”How do I love thee?Let me count the ways”?	DEATH
In Colonial America,what household item was often given in place of an engagement ring?	THIMBLE
Who was the only U.S. president to get married at the White House?	GROVER CLEVELAND
The familiar song known as “Here Comes The Bride” comes from the opera “Lohengrin,” in which it plays for a bride named what?	ELSA
For good luck on their wedding day,Greek brides have a tradition of slipping what object into their gloves?	A SUGAR CUBE
In July 1982,who presided over a mass wedding of 2,075 couples at Madison Square Garden?	REV. SUN MYUNG MOON
Because gold is so coveted there,in what country are brides often draped in more than a kilo of gold jewelry?	INDIA
Because they mate for life,what animal was traditionally given by Korean grooms to the mother of the bride?	WILD GOOSE
Which of Bravo’s “Real Housewives” claims she has accepted a marriage proposal a shocking nineteen times?	DANIELLE STAUB
Which of these famous people was never married to his first cousin?	SALVADOR DALI
Though her 2008 wedding was private,Beyonce’s 2011 video for “I Was Here” revealed footage of what special moment?	HER TRYING ON HER WEDDING DRESS
Queen Victoria’s 1840 wedding is credited with popularizing what tradition?	WHITE BRIDAL GOWN
In 1994,what TV show broke ground depicting a gay marriage between inkeepers Ron and Erick?	NORTHERN EXPOSURE
At the end of a Czech wedding,it is customary to shower the couple with what instead of rice?	PEAS
Because “he would never have presumed to take such liberty,” Queen Victoria proposed to what first cousin of hers?	ALBERT
At the end of “When Harry Met Sally,” the couple recalls serving what flavor wedding cake with chocolate sauce “on the side”?	COCONUT
When Big marries Carrie in “Sex and The City,” he whispers “Ever thine,ever mine,ever ours,” a line from whose famous love letter?	BEETHOVEN
In what country is it especially lucky to serve a whole fish at a wedding,since the word for “fish” sounds like “abundance”?	CHINA
According to legend,what did Guinevere’s father give King Arthur as a wedding gift?	THE ROUND TABLE
As your florist can tell you,a tussie-mussie bouquet is most similar to what other kind of bouquet?	NOSEGAY
On the series finale of “The Golden Girls,” Dorothy becomes “Mrs. Lucas Hollingsworth” by marrying Blanche’s what?	UNCLE
Frequently heard at weddings,Johann Pachelbel’s famous canon is in what key?	D MAJOR
In 2011,William and Kate left the royal wedding in a vintage model of what make with the license plate “JU5T WED”?	ASTON MARTIN
In “Rocky II,” the Italian Stallion proposes to his girlfriend Adrian on a cold,snowy day at what location?	ZOO
In the 1994 comedy “Four Weddings and a Funeral,” which of these pairs does not wed at one of the four weddings?	SCARLETT & DAVID
In “Wuthering Heights,” what does Catherine give as the reason that she cannot marry her beloved Heathcliff?	HIS SOCIAL STATUS
If you wanted to write a special poem for a bride and groom on their wedding day,you could technically call it a what?	EPITHALAMIUM
The series finale of the original “Beverly Hills,90210” ends with the gang boogying down to what song at Donna and David’s wedding?	CELEBRATION
Popular at weddings and beyond,the “Big Three” varietals of the U.S. wine industry include all but which of the following?	WHITE ZINFANDEL
The word “bride” is thought to derive from the ancient European verb root “bru-,” which means what?	TO COOK
In a 1978 “Muppet Show” episode,Kermit’s wedding to Miss Piggy is disrupted at the last moment by a what?	BOOMERANG FISH
In 2008,a National Science Foundation survey said what nation’s residents are the happiest in the world?	DENMARK
Which of these women’s engagement rings famously featured an enormous,2.8 carat green emerald?	JACQUELINE KENNEDY
What poet wrote the marriage advice, “Whenever you’re wrong,admit it; whenever you’re right,shut up”?	OGDEN NASH
Contrary to popular belief,Robert E. Lee’s surrender took place not in a courthouse,but in whose home?	THE MCLEANS
A staple at Jewish weddings and Bar Mitzvahs,”Hava Nagila” is a Hebrew folk song that means “Let us” what?	REJOICE
What popular movie features a comical priest who declares “Mawage is wot bwings us togeder today”?	THE PRINCESS BRIDE
As opposed to a ring bearer,the traditional job of a wedding page boy is to do what?	CARRY THE BRIDE’S TRAIN
Because it’s considered good luck to see one on your wedding day,couples in England often hire a what to attend their nupitals?	CHIMNEY SWEEP
Since 1962,jousting has been the official sport of what U.S. state?	MARYLAND
Often standing up to lions and leopards,what mammal holds the Guinness title as “World’s Most Fearless Animal”?	HONEY BADGER
The word “tabloid” was originally trademarked in 1884 as the brand name for a new type of what?	PILL
As the result of a duel,what president harbored a bullet near his heart for the last 39 years of his life?	ANDREW JACKSON
Who was the only U.S. president to get married at the White House?	GROVER CLEVELAND
What is the last word of the Elizabeth Barrett Browning poem that begins, “How do I love thee? Let me count the ways”?	DEATH
According to legend, what did Guinevere’s father give King Arthur as a wedding gift?	THE ROUND TABLE
In 1986, who became the first female comic invited to sit down with Johnny Carson after her set on the “Tonight Show”?	ELLEN DEGENERES
Jeff “Skunk” Baxter, a leading counterterrorism expert in the U.S., was also a lead guitarist for what band?	THE DOOBIE BROTHERS
Which of these devices needs to take into account Albert Einstein’s theory of relativity to work properly?	GPS RECEIVERS
During the “baby boom” era that lasted from 1946 to 1964,about how many babies were born in the U.S.?	76 MILLION *CORRECT*
In pirate lingo,what does it mean to “splice the mainbrace”?	HAVE A DRINK
According to legend,what president is credited with inspiring the Maxwell House slogan “Good to the last drop”?	THEODORE ROOSEVELT
What did Charles Darwin once call “the most peculiar and the most human of all expressions”?	BLUSHING
The name of the Arab television network Jazeera literally means what?	THE ISLAND
What does John Lennon actually say at the end of “Strawberry Fields Forever” that is often misheard as “I buried Paul”?	CRANBERRY SAUCE
“Which of these lines does not appear in the chorus of Martina McBride’s classic country song “Independence Day”?	LET THE WHOLE WORLD SING
“Dying days later,what U.S. president is thought to have contracted cholera from iced milk and cherries at a 4th of July celebration?”	ZACHARY TAYLOR
“In Chicago’s “Saturday In The Park,” the singer sees all but which of the following in a park on a day he “thinks” is the 4th of July?”	PEOPLE RUNNING
In “Independence Day,” “POTUS” Bill Pullman vows to fight for freedom “not from tyranny,oppression,or persecution,but from” what?	ANNIHILATION
What patriotic state is home to the towns North Liberty,West Liberty,New Liberty and Libertyville?	IOWA
Serving as a messenger during the Revolutionary War,who was the only U.S. president to be held as a prisoner of war?	ANDREW JACKSON
After his apparent assassination in a 2007 issue,the mantle of Captain America was taken over by what Steve Rogers sidekick?	BUCKY BARNES
Which of these cities is not mentioned in the lyrics to Lee Greenwood’s patriotic song “God Bless The USA”?	PHOENIX
Long served as a July 4th-friendly fruit,watermelon surprisingly became what state’s official “vegetable” in 2007?	OKLAHOMA
How many red stripes of the American flag are visible on the cover of Bruce Springsteen’s album, “Born In The U.S.A.”?	THREE
Though he famously sang on 4th of July in nearby Ashbury Park,Bruce Springsteen was born in what Jersey Shore town?	LONG BRANCH
On July 4,2009,Joey Chestnut set a new world record when he consumed how many hot dogs and buns in 10 minutes?	68 *CORRECT*
What year marked the first time the U.S. celebrated July 4th with an official display of fireworks?	1777 *CORRECT*
If you played the July 4th “greased watermelon” pool game on the continent where the fruit originated,you’d be where?	AFRICA
Which of these phrases appears in both the Declaration of Independence and the Gettysburg Address?	ALL MEN ARE CREATED EQUAL
Allegedly held by four immigrants to prove who was the most patriotic,the first winner of Nathan’s Hot Dog Eating contest was what?	AN IRISHMAN
Which of these Founding Fathers signed both the Declaration of Independence and the U.S. Constitution?	BENJAMIN FRANKLIN
Many vexillologists have poked holes in the famous legend associated with what Revolutionary War figure?	BETSY ROSS
Popular on holiday playlists,what CCR song contains the line “I can remember the Fourth of July”?	BORN ON THE BAYOU
Because her house was too small,Mary Pickersgill chose to sew the huge “Star Spangled Banner” flag at a Baltimore what?	BREWERY
Many historians believe Paul Revere made his famous midnight ride on a horse with what name?	BROWN BEAUTY
Who is the only U.S. president to be born on the Fourth of July?	CALVIN COOLIDGE
“According to local lore,what city’s residents became the first Americans to delcare independence on May 20,1775”?	“CHARLOTTE,NORTH CAROLINA”
“Though it soon became worthless,” what was the name of the currency used by the Colonies during the American Revolution?	CONTINENTALS
Sitting just across a river from each other,what two cities jointly celebrate Canada Day and the Fourth of July with a huge fireworks display?	DETROIT AND WINDSOR
“In 1817,Fourth of July celebrations included the start of construction on what public works project?”	ERIE CANAL
“At the end of “North by Northwest,” Eva Marie Saint dangles perilously just below which president on Mt. Rushmore”?	GEORGE WASHINGTON
Before it was set to music,the first line of the poem that became “America The Beautiful” read “O beautiful,for” what?	HALCYON SKIES
“In a non-leap year,an alternate way of wishing someone a good Fourth of July is saying what”?	“””HAPPY 185TH DAY OF THE YEAR!”””
“Measuring 255 ft. by 505 ft,the largest U.S. flag ever made debuted in 1996 when it was hung from what landmark?”	HOOVER DAM
“Spoken in the 1929 short “The Karnival Kid,” the first line ever uttered by Mickey Mouse was which of these 4th of July faves”?	“””HOT DOGS!”””
“Though it was still under construction,who was the first U.S. president to live in the White House”?	JOHN ADAMS
Who wrote of a person’s right to “life,liberty and estate” years before Thomas Jefferson tweaked the phrase in 1776?	JOHN LOCKE
What singer pioneered “personalized” versions of the national anthem with this nontraditional arrangement at the 1968 World Series?	JOSE FELICIANO
Which of these actors has never portrayed Abraham Lincoln?	KEVIN KLINE
Thomas Jefferson is credited with inventing all but which of the following?	LAZY SUSAN
Beginning with the words “I celebrate myself,” what classic American work of literature was first published on July 4th?	LEAVES OF GRASS
The hopeful song “America” in the Broadway musical “West Side Story” contains all but which of these lines?	LIVING A DREAM IN AMERICA
Which of these inspirational events in American history took place on the Fourth of July?	“LOU GEHRIG’S “LUCKIEST MAN SPEECH”
“What country’s quest for independence began with a priest’s fiery 1810 speech known as “The Cry of Dolores”?	MEXICO
“Celebrating the 4th since 1785,what state’s town of Bristol is home to America’s oldest Independence Day parade”?	RHODE ISLAND
Suspicious of increasing federal power,what was the only state to boycott the 1787 Constitutional Convention?	RHODE ISLAND
At the 1969 Woodstock festival,Jimi Hendrix played a famous virtuoso rendition of what patriotic song?	STAR-SPANGLED BANNER
Though the statue depicts a woman with wings,the “Emmy” derives its name from “Immy,” a nickname for an early what?	TV CAMERA TUBE
On October 1,1962,who introduced Johnny Carson as the new host of “The Tonight Show”?	GROUCHO MARX
Fred Kaps,the man who had to follow The Beatles after their debut on “The Ed Sullivan Show,” was what type of performer?	MAGICIAN
Which of these great painters is commonly known by the name of his home town, not by his birth name?	CARAVAGGIO
Ron Wayne, who would be a billionaire today had he not sold his 10% stake for $800 back in 1976, co-founded what company?	APPLE
In 1968, what overzealous airline began taking reservations for lunar flights that were set to take off in 2000?	PAN AM
Satisfaction guaranteed or your money back was first advertised in the 1870s by what company?	MONTGOMERY WARD
What legendary entertainer was buried with $1,008 so he’d always have enough money to play cards?	GEORGE BURNS
In Edward Hopper’s painting “Nighthawks,” a sign atop the diner advertises what cigar brand?	PHILLIES
When England adopted the new Gregorian calendar in 1752,people complained that they “lost” how many days?	11 *CORRECT*
Though his real name is Riley B. King, the initials in guitarist B.B. King’s stage name stand for what?	BLUE BOYS
Often referenced in rap songs, what alcoholic beverage was originally created in 1876 for Czar Alexander II?	CRISTAL
In the D.H. Lawrence novel “Lady Chatterley’s Lover,” who is Lady Chatterley’s lover?	A GAMEKEEPER
Which of these countries’ people usually eat with fork and spoon, only using chopsticks for noodles?	THAILAND
Who wrote “Bartlett’s Familiar Quotations is an admirable book,” a quote now listed in “Bartlett’s”?	WINSTON CHURCHILL
Named for an English stable owner, which of these phrases refers to a so-called “choice” of just one option?	HOBSON’S CHOICE
Which of these famous musical frontmen briefly attended the London School of Economics?	MICK JAGGER
Once included in its country’s name,the word “Soviet” actually means what in Russian?	COUNCIL
The Canadian national flag features a stylized red maple leaf that has how many points?	11
ccording to common estimates, what are the odds of finding a four-leaf clover?	1 in 10000
Using data from a probe in outer space, NASA is able to calculate that our universe is precisely how old	13.7 billion years
According to Greek myth, Persephone was forced to spend part of the year in Hades after eating what?	POMEGRANATE SEEDS
What now-famous person served as the model for Diane Arbus’ iconic 1968 photo “A Very Young Baby”?	ANDERSON COOPER
The chimes in London’s Big Ben clock tower play a tune from a famous work by what composer?	HANDEL
Richard Nixon helped finance his first Congressional campaign in 1946 with money he made doing what?	PLAYING-HIGH-STAKES POKER
From 1638 to 1655, parts of present-day Delaware, New Jersey and Pennsylvania formed what short-lived colony?	NEW SWEDEN
Which of these Stephen King novels features a villain who sometimes goes by the alias “Bob Gray”?	It
Worn by the antagonists in the “Scream” series, the Ghostface mask was inspired by a famous painting by what artist?	Edward Munch
Who was the first U.S. president whose body was embalmed?	ABRAHAM LINCOLN
Thought to be the source of a classic joke, “Knock, knock, knock! Who’s there…?” is a line from what Shakespeare play?	Macbeth
Who is the only astronaut known to have given himself communion on the surface of the moon?	Buzz Aldrin
In his illustrious career as a daredevil,Evel Knievel attempted to jump all but which of these obstacles?	74 NEW YORK CABS
Before being replaced,who first played the title alien in the 1987 Schwarzenegger action film “Predator”?	JEAN-CLAUDE VAN DAMME
What president remarried his wife 3 years after their wedding because her first divorce wasn’t finalized?	ANDREW JACKSON
When introduced in 1932,the 3 Musketeers candy bar had three pieces: chocolate,vanilla and what?	STRAWBERRY
Because the number is similar to the word for “death,” Chinese high-rise buildings often “lack” what floor?	4TH *CORRECT*
Who chaired the Senate Judiciary Committee during the 1991 Anita Hill-Clarence Thomas hearings?	JOSEPH BIDEN
The fictional hero of “The Scarlet Pimpernel” uses as his emblem a scarlet pimpernel,which is a type of what?	FLOWER
Because of its easternmost location,which of these island nations is the first to ring in the New Year?	KIRIBATI
Years before FDR said something similar,who wrote the line,”Nothing is so much to be feared as fear”?	HENRY DAVID THOREAU
What Jim Carrey movie features the “Millionaire”- inspired line “Is that your final answer”?	BRUCE ALMIGHTY
What historic item was accidentally discovered in 1940 by four teenage boys looking for lost treasure?	LASCAUX CAVE PAINTINGS
